Car ID,Manufacturer,Model,Year,Modification,Link to Page,Price,Total Run,Engine,Gearbox,Color,Condition,Drive Type
35309074,Porsche,Cayenne,2010,,/auto_porsche_cayenne_35309074.html," 21 777 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",177 тис. км,4.8 л • Бензин,Автомат, Синій,,Повний
35084792,Porsche,Cayenne Coupe,2023,3.0 Tiptronic (353 к.с.),/auto_porsche_cayenne_coupe_35084792.html," 137 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",1 тис. км,3 л (353 к.с. / 260 кВт) • Бензин,Автомат,,,Повний
1922089,Porsche,Cayenne,2023,E-Hybrid 3.0 Tip-tronic (304 к.с.),/newauto/auto-porsche-cayenne-1922089.html,,,,,,,
35300230,Porsche,Cayenne Coupe,2019,3.0 Tiptronic (340 к.с.) AWD,/auto_porsche_cayenne_coupe_35300230.html," 83 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",39 тис. км,3 л (340 к.с. / 250 кВт) • Бензин,Автомат,Коричневий,Повністю непошкоджене ,Повний
35300203,Porsche,Cayenne,2019,Turbo 4.0 Tip-tronic (550 к.с.),/auto_porsche_cayenne_35300203.html," 143 499 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",56 тис. км,4 л (748 к.с. / 550 кВт) • Бензин,Автомат, Чорний металік,Повністю непошкоджене ,Повний
34063687,Porsche,Cayenne Coupe,2019,3.0 Tiptronic (340 к.с.) AWD,/auto_porsche_cayenne_coupe_34063687.html," 94 900 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",39 тис. км,3 л (340 к.с. / 250 кВт) • Бензин,Автомат, Білий металік,Повністю непошкоджене ,Повний
35311726,Porsche,Cayenne,2008,GTS 4.8 AT (405 к.с.) AWD,/auto_porsche_cayenne_35311726.html," 15 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",156 тис. км,4.8 л • Бензин,Автомат, Чорний,,Повний
29754364,Porsche,Cayenne,2014,S 3.6 AT (420 к.с.) AWD,/auto_porsche_cayenne_29754364.html, 31 000 $,120 тис. км,3.6 л (420 к.с. / 309 кВт) • Бензин,Автомат,Світлий,,Повний
35000741,Porsche,Cayenne,2018,S 2.9 Tip-tronic (440 к.с.),/auto_porsche_cayenne_35000741.html," 85 000 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",69 тис. км,2.89 л (440 к.с. / 324 кВт) • Бензин,Автомат,Коричневий,,Повний
35279066,Porsche,Panamera,2017,4 E-Hybrid 2.9 PDK (462 к.с.),/auto_porsche_panamera_35279066.html," 83 500 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",65 тис. км,2.89 л (136 к.с. / 100 кВт) • Гібрид (HEV),Робот, Білий,,Повний
35088926,Porsche,Cayenne,2012,3.0D AT (245 к.с.) AWD,/auto_porsche_cayenne_35088926.html," 28 900 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",170 тис. км,2.99 л (245 к.с. / 180 кВт) • Дизель,Автомат,Світлий,Повністю непошкоджене ,Повний
35271695,Porsche,Cayenne Coupe,2020,3.0 Tiptronic (340 к.с.) AWD,/auto_porsche_cayenne_coupe_35271695.html," 88 888 $ моніторинг цін Ми перевіряємо ціни, зазначені в оголошеннях, на відповідність реальним середньоринковим Оголошення із заниженою ціною видаляються з пошуку.",90 тис. км,Бензин,Автомат, Синій,,Повний
